"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72292023191","1998-04-01T23:59:00","SOD  ","6",,,,,,,,,,,,,,,,"45s",,,"29.86",,"11.5","0s","-9.8s","20s","50","40s","240","24","0.12",,,"240","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOD52324 HR PRECIPITATION (IN): 0.12 24 HR MAX TEMP (F): 5024 HR MAX TEMP TIME (LST):1555 24 HR MIN TEMP (F): 4024 HR MIN TEMP TIME (LST):0514 AVERAGE STATION PRESSURE:29.86  PEAK WIND SPEED (MPH): 24 PEAK WIND DIR (DEG):240 PEAK WIND TIME (LST):1612  FASTEST 2MIN SPEED (MPH): 21FASTEST 2MIN DIR (DEG):240 FASTEST 2MIN TIME (LST):1423 AVERAGE WIND SPEED (MPH):11.5 HOURLY INCREMENTAL PRECIPITATION VALUES (IN): T    T    T    T   .01  .05  .00  .04  .00  .00  .01  .00  .00  .00  .00  .00  .00  .00  .01   T   .00  .00  .00  .00","SOD  ","6",,,,,,,,,,,,,,,,,,,,,,,,,"0542","1814",,
"72292023191","1998-04-02T23:59:00","SOD  ","6",,,,,,,,,,,,,,,,"50",,,"30.08",,"5.9","0","-4.8","15","55","45","250","15","0.01",,,"240","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOD54524 HR PRECIPITATION (IN): 0.01 24 HR MAX TEMP (F): 5524 HR MAX TEMP TIME (LST):1422 24 HR MIN TEMP (F): 4524 HR MIN TEMP TIME (LST):0538 AVERAGE STATION PRESSURE:30.08  PEAK WIND SPEED (MPH): 15 PEAK WIND DIR (DEG):250 PEAK WIND TIME (LST):1351  FASTEST 2MIN SPEED (MPH): 13FASTEST 2MIN DIR (DEG):240 FASTEST 2MIN TIME (LST):1351 AVERAGE WIND SPEED (MPH): 5.9 24 HR AVG TEMP (F):50 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00   T   .01  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","SOD  ","6",,,,,,,,,,,,,,,,,,,,,,,,,"0540","1815",,
"72292023191","1998-04-03T23:59:00","SOD  ","6",,,,,,,,,,,,,,,,"50",,,"30.01",,"9.3","0","-4.9","15","55","45","260","28","0.02",,,"250","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOD54524 HR PRECIPITATION (IN): 0.02 24 HR MAX TEMP (F): 5524 HR MAX TEMP TIME (LST):1248 24 HR MIN TEMP (F): 4524 HR MIN TEMP TIME (LST):2345 AVERAGE STATION PRESSURE:30.01  PEAK WIND SPEED (MPH): 28 PEAK WIND DIR (DEG):260 PEAK WIND TIME (LST):1551  FASTEST 2MIN SPEED (MPH): 24FASTEST 2MIN DIR (DEG):250 FASTEST 2MIN TIME (LST):1551 AVERAGE WIND SPEED (MPH): 9.3 24 HR AVG TEMP (F):50 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .01  .00  .00  .00  .00  .00  .00  .00  .00   T   .00   T   .01   T   .00  .00  .00  .00  .00","SOD  ","6",,,,,,,,,,,,,,,,,,,,,,,,,"0539","1816",,
"72292023191","1998-04-04T23:59:00","SOD  ","6",,,,,,,,,,,,,,,,"49",,,"29.94",,"7.3","0","-6.0","16","53","44","220","20","0.07",,,"230","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOD54524 HR PRECIPITATION (IN): 0.07 24 HR MAX TEMP (F): 5324 HR MAX TEMP TIME (LST):1340 24 HR MIN TEMP (F): 4424 HR MIN TEMP TIME (LST):0544 AVERAGE STATION PRESSURE:29.94  PEAK WIND SPEED (MPH): 20 PEAK WIND DIR (DEG):220 PEAK WIND TIME (LST):1220  FASTEST 2MIN SPEED (MPH): 16FASTEST 2MIN DIR (DEG):230 FASTEST 2MIN TIME (LST):1220 AVERAGE WIND SPEED (MPH): 7.3 24 HR AVG TEMP (F):49 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00   T   .02   T    T    T   .03  .02   T   .00  .00  .00  .00  .00  .00","SOD  ","6",,,,,,,,,,,,,,,,,,,,,,,,,"0538","1816",,
"72292023191","1998-04-05T23:59:00","SOD  ","6",,,,,,,,,,,,,,,,"50",,,"29.90",,"9.8","0","-5.0","15","54","45","250","24","0.02",,,"250","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOD54524 HR PRECIPITATION (IN): 0.02 24 HR MAX TEMP (F): 5424 HR MAX TEMP TIME (LST):1403 24 HR MIN TEMP (F): 4524 HR MIN TEMP TIME (LST):0428 AVERAGE STATION PRESSURE:29.90  PEAK WIND SPEED (MPH): 24 PEAK WIND DIR (DEG):250 PEAK WIND TIME (LST):1721  FASTEST 2MIN SPEED (MPH): 22FASTEST 2MIN DIR (DEG):250 FASTEST 2MIN TIME (LST):1721 AVERAGE WIND SPEED (MPH): 9.8 24 HR AVG TEMP (F):50 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .01  .01  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","SOD  ","6",,,,,,,,,,,,,,,,,,,,,,,,,"0536","1817",,
"72292023191","1998-04-06T23:59:00","SOD  ","6",,,,,,,,,,,,,,,,"51",,,"29.97",,"21.3","0","-4.1","14","54","47","250","34","0.01",,,"250","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOD54524 HR PRECIPITATION (IN): 0.01 24 HR MAX TEMP (F): 5424 HR MAX TEMP TIME (LST):1423 24 HR MIN TEMP (F): 4724 HR MIN TEMP TIME (LST):2345 AVERAGE STATION PRESSURE:29.97  PEAK WIND SPEED (MPH): 34 PEAK WIND DIR (DEG):250 PEAK WIND TIME (LST):2200  FASTEST 2MIN SPEED (MPH): 30FASTEST 2MIN DIR (DEG):250 FASTEST 2MIN TIME (LST):1725 AVERAGE WIND SPEED (MPH):21.3 24 HR AVG TEMP (F):51 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .01  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","SOD  ","6",,,,,,,,,,,,,,,,,,,,,,,,,"0535","1818",,
"72292023191","1998-04-07T23:59:00","SOD  ","6",,,,,,,,,,,,,,,,"51",,,"30.04",,"15.3","0","-4.1","14","55","47","250","31","0.02",,,"250","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOD54524 HR PRECIPITATION (IN): 0.02 24 HR MAX TEMP (F): 5524 HR MAX TEMP TIME (LST):1524 24 HR MIN TEMP (F): 4724 HR MIN TEMP TIME (LST):2345 AVERAGE STATION PRESSURE:30.04  PEAK WIND SPEED (MPH): 31 PEAK WIND DIR (DEG):250 PEAK WIND TIME (LST):0151  FASTEST 2MIN SPEED (MPH): 25FASTEST 2MIN DIR (DEG):250 FASTEST 2MIN TIME (LST):0154 AVERAGE WIND SPEED (MPH):15.3 24 HR AVG TEMP (F):51 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .02  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","SOD  ","6",,,,,,,,,,,,,,,,,,,,,,,,,"0534","1818",,
"72292023191","1998-04-08T23:59:00","SOD  ","6",,,,,,,,,,,,,,,,"52",,,"30.11",,"5.5","0","-3.2","13","58","46","270","15","0.00s",,,"270","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 5824 HR MAX TEMP TIME (LST):1339 24 HR MIN TEMP (F): 4624 HR MIN TEMP TIME (LST):0018 AVERAGE STATION PRESSURE:30.11  PEAK WIND SPEED (MPH): 15 PEAK WIND DIR (DEG):270 PEAK WIND TIME (LST):1956  FASTEST 2MIN SPEED (MPH): 13FASTEST 2MIN DIR (DEG):270 FASTEST 2MIN TIME (LST):1957 AVERAGE WIND SPEED (MPH): 5.5 24 HR AVG TEMP (F):52 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","SOD  ","6",,,,,,,,,,,,,,,,,,,,,,,,,"0532","1819",,
"72292023191","1998-04-09T23:59:00","SOD  ","6",,,,,,,,,,,,,,,,"52",,,"30.07",,"7.6","0","-3.2","13","59","45","240","21","0.01",,,"240","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOD54524 HR PRECIPITATION (IN): 0.01 24 HR MAX TEMP (F): 5924 HR MAX TEMP TIME (LST):1359 24 HR MIN TEMP (F): 4524 HR MIN TEMP TIME (LST):0523 AVERAGE STATION PRESSURE:30.07  PEAK WIND SPEED (MPH): 21 PEAK WIND DIR (DEG):240 PEAK WIND TIME (LST):1556  FASTEST 2MIN SPEED (MPH): 17FASTEST 2MIN DIR (DEG):240 FASTEST 2MIN TIME (LST):1556 AVERAGE WIND SPEED (MPH): 7.6 24 HR AVG TEMP (F):52 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","SOD  ","6",,,,,,,,,,,,,,,,,,,,,,,,,"0531","1820",,
"72292023191","1998-04-10T23:59:00","SOD  ","6",,,,,,,,,,,,,,,,"53",,,"29.91",,"10.7","0","-2.2","12","58","48","230","20","0.00s",,,"230","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 5824 HR MAX TEMP TIME (LST):1353 24 HR MIN TEMP (F): 4824 HR MIN TEMP TIME (LST):2345 AVERAGE STATION PRESSURE:29.91  PEAK WIND SPEED (MPH): 20 PEAK WIND DIR (DEG):230 PEAK WIND TIME (LST):1653  FASTEST 2MIN SPEED (MPH): 17FASTEST 2MIN DIR (DEG):230 FASTEST 2MIN TIME (LST):1651 AVERAGE WIND SPEED (MPH):10.7 24 HR AVG TEMP (F):53 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.01  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","SOD  ","6",,,,,,,,,,,,,,,,,,,,,,,,,"0530","1821",,
